Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
267243,Ironweed,William  Kennedy,"Kennedy, William",,"=""0743263065""","=""9780743263061""",0,3.87,Simon & Schuster Ltd,Paperback,208,2004,1983,,2023/06/14,"to-read, gilmore-girls","to-read (#313), gilmore-girls (#314)",to-read,,,,0,0
2764420,Myra Waldo's Travel And Motoring Guide To Europe,Myra Waldo,"Waldo, Myra",,"=""0020988206""","=""9780020988205""",0,2.55,,,,,,,2023/06/14,"to-read, gilmore-girls","to-read (#314), gilmore-girls (#315)",to-read,,,,0,0
47173,The Norton Anthology of Theory and Criticism,Vincent B. Leitch,"Leitch, Vincent B.","William E. Cain, Laurie A. Finke, Barbara E. Johnson, John McGowan, Jeffrey J. Williams","=""0393974294""","=""9780393974294""",0,4.14,W. W. Norton & Company,Hardcover,2624,2001,2001,,2023/06/14,"to-read, gilmore-girls","to-read (#315), gilmore-girls (#316)",to-read,,,,0,0
35269826,"This Is Water: Some Thoughts, Delivered on a Significant Occasion, about Living a Compassionate Life",David Foster Wallace,"Wallace, David Foster",,"=""""","=""""",0,4.49,"Little, Brown and Company",Kindle Edition,155,2009,2009,,2023/06/14,"to-read, gilmore-girls","to-read (#311), gilmore-girls (#312)",to-read,,,,0,0
722041,A Month Of Sundays: Searching For The Spirit And My Sister,Julie Mars,"Mars, Julie",,"=""0974207454""","=""9780974207452""",0,3.61,Greycore Pr,Paperback,208,2005,2005,,2023/06/14,"to-read, gilmore-girls","to-read (#307), gilmore-girls (#308)",to-read,,,,0,0
394172,The True and Outstanding Adventures of the Hunt Sisters,Elisabeth Robinson,"Robinson, Elisabeth",,"=""0316159360""","=""9780316159364""",0,3.34,Back Bay Books,Paperback,326,2005,2004,,2023/06/14,"to-read, gilmore-girls","to-read (#308), gilmore-girls (#309)",to-read,,,,0,0
6751,Consider the Lobster and Other Essays,David Foster Wallace,"Wallace, David Foster",,"=""0316156116""","=""9780316156110""",0,4.18,"Little, Brown and Company",Hardcover,343,2005,2005,,2023/06/14,"to-read, gilmore-girls","to-read (#309), gilmore-girls (#310)",to-read,,,,0,0
3686,Truth & Beauty,Ann Patchett,"Patchett, Ann",,"=""0060572159""","=""9780060572150""",0,3.96,Harper Perennial,Paperback,257,2023,2004,,2023/06/14,"to-read, gilmore-girls","to-read (#310), gilmore-girls (#311)",to-read,,,,0,0
141077,The Kreutzer Sonata,Leo Tolstoy,"Tolstoy, Leo","Doris Lessing, Isai Kamen","=""0812968239""","=""9780812968231""",0,3.88,Modern Library,Paperback,128,2003,1889,,2023/06/14,"to-read, gilmore-girls","to-read (#305), gilmore-girls (#306)",to-read,,,,0,0
9593,Galápagos,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333870""","=""9780385333870""",0,3.87,Dial Press Trade Paperback,Paperback,324,1999,1985,,2023/06/14,"to-read, gilmore-girls","to-read (#306), gilmore-girls (#307)",to-read,,,,0,0
1679504,The Collected Works of Grey Owl,Grey Owl,"Owl, Grey",,"=""1552670066""","=""9781552670064""",0,4.16,Prospero Books,Hardcover,545,1999,2000,,2023/06/14,"to-read, gilmore-girls","to-read (#303), gilmore-girls (#304)",to-read,,,,0,0
89840,Secrets of the Flesh: A Life of Colette,Judith Thurman,"Thurman, Judith",,"=""0345371038""","=""9780345371034""",0,3.89,Ballantine Books,Paperback,592,2000,1999,,2023/06/14,"to-read, gilmore-girls","to-read (#304), gilmore-girls (#305)",to-read,,,,0,0
242514,"Gidget (Gidget series, #1)",Frederick Kohner,"Kohner, Frederick",Kathy Kohner Zuckerman,"=""0425179621""","=""9780425179628""",0,3.63,Berkley Books,Paperback,154,2001,1957,,2023/06/14,"to-read, gilmore-girls","to-read (#299), gilmore-girls (#300)",to-read,,,,0,0
844051,Mutiny on the Bounty,Charles Bernard Nordhoff,"Nordhoff, Charles Bernard",James Norman Hall,"=""0316611689""","=""9780316611688""",0,4.00,Back Bay Books,Paperback,400,1989,1932,,2023/06/14,"to-read, gilmore-girls","to-read (#300), gilmore-girls (#301)",to-read,,,,0,0
414759,Property,Valerie Martin,"Martin, Valerie",,"=""0375713301""","=""9780375713309""",0,3.69,Vintage,Paperback,196,2004,2003,,2023/06/14,"to-read, gilmore-girls","to-read (#301), gilmore-girls (#302)",to-read,,,,0,0
11831404,Fodor's Selected Hotels Of Europe,Fodor's Travel Publications Inc.,"Inc., Fodor's Travel Publications",,"=""0340399937""","=""9780340399934""",0,3.29,Hodder & Stoughton Ltd,Paperback,372,1987,1987,,2023/06/14,"to-read, gilmore-girls","to-read (#302), gilmore-girls (#303)",to-read,,,,0,0
125842,A Bolt from the Blue and Other Essays,Mary McCarthy,"McCarthy, Mary",A.O. Scott,"=""1590170105""","=""9781590170106""",0,3.75,New York Review Books Collections,Hardcover,400,2002,2001,,2023/06/14,"to-read, gilmore-girls","to-read (#298), gilmore-girls (#299)",to-read,,,,0,0
11464,Old School,Tobias Wolff,"Wolff, Tobias",,"=""0747574650""","=""9780747574651""",0,3.83,Bloomsbury,Paperback,196,2005,2003,,2023/06/14,"to-read, gilmore-girls","to-read (#296), gilmore-girls (#297)",to-read,,,,0,0
